ID,term,category,appliesTo,definition,category2,dataSource
1829,partial,extent,,"Not reaching fully from the ovary wall or pericarp to the center of the ovary or fruit and/or from the apex to the base of its interior, thus not completely separating adjacent locules, which are recognized and delimited by extrapolating from the incomple",extent,
1831,_partite,shape,,"Having the number of lobes, divisions or segments indicated by the prefix; as in tripartite.",shape,
1832,partite,shape,,Having two or more component sectors or peripheral protrusions that are delimited by concavities in the surface or margin and that are not proximally distinct from the remainder of the whole.  The meanings of this term and its approximate synonyms sometim,shape,
1834,patelliform,shape,,"Thickly meniscoid, like a human kneecap.",shape,
1835,patent,orientation,lateral structure,Antrorse and diverging at an acute angle from the bearing structure.,orientation,
1836,pear-shaped,shape,,"Basically circular in transverse section, broadest toward one end, attenuate toward and much narrower at the other, both ends rounded; slenderly turbinate or obturbinate; like a pear.",shape,
1837,pectinate,shape,,"Finely divided, the divisions slender, oriented more or less perpendicular to the central axis, and resembling the teeth of a comb.",shape,
1838,pedate,architecture,foliaceous structure,Palmately divided with the two proximal lateral lobes each 2-parted.,architecture,
1839,pedatifid,architecture,foliaceous structure,Palmately divided with the two proximal lateral lobes each 2-parted.,architecture,
1840,pedicel,structure,,"The stalk, when present, of a single flower, except when the flower is solitary and deemed to represent an evolutionarily reduced compound inflorescence borne directly upon a peduncle.",STRUCTURE,
1841,pedicellate,architecture,flower,Having a pedicel.,architecture,
1842,peduncle,structure,,"The common stalk, when present, of a compound inflorescence or first-order subunit thereof, or of a solitary flower that is deemed to represent an evolutionarily reduced compound inflorescence.",STRUCTURE,
1843,pedunculate,architecture,inflorescence,Having a peduncle.,architecture,
1844,pellucid,coloration,,Transmitting light uniformly.,coloration,
1845,peloric,architecture,corolla,Regular when the usual condition in the taxon is irregular.,architecture,
1846,peltate,architecture,foliaceous structure,Petiolate with the petiole attached to the abaxial face of the blade at some point within the margin and otherwise free from the blade.,shape,
1847,pendent,orientation,stalked structure,"Having the stalk strongly recurved from its base, the main body oriented downward.  See also nutant (cernuous, nodding).",orientation,
1848,pendulous,orientation,stalked structure,"Having the stalk strongly recurved from its base, the main body oriented downward.  See also cernuous (nodding, nutant).",orientation,
1849,penicillate,shape,,"Having a proximal axis that bears a distal cluster of elongate slender branches or appendages, these variously ascending to erect; like a broom.",shape,
1850,penta_,prefix,,"Indicating presence of or constitution by five entities of the type denoted by the term's stem; as in  pentandrous, pentacarpellate, pentacolporate.",prefix,
1851,pepo,structure,fruit,"Like a berry but derived from a single, inferior, compound ovary, with accessory floral-tube tissue adnate to the pericarp, having a relatively thin, hard or leathery rind and a thicker, fleshy inner wall that surrounds a mass of seeds; esp. in Cucurbitac",nominative,
1852,percurrent,architecture,primary or secondary laminar veins,"Running through the entire length of the lamina (blade), or all the way to its margin.",architecture,
1853,percurrent,architecture,tertiary laminar veins,"Perpendicular to and interconnecting adjacent parallel secondary veins, the secondary and tertiary veins together forming a scalariform pattern.",architecture,
1854,perennate,duration,structure,Persisting in a functional state through the entire growing season.,duration,
1855,perennial,duration,plant,"Normally living more than two years, with no definite limit to its life span.",duration,q
1856,perennial,life_style,plant,Of perennial duration.,duration,q
1857,perfect,architecture,flower,"Having functional pistil(s) and functional stamen(s) both present, thus bisexual (hermaphroditic).",architecture,
1858,perfoliate,architecture,foliaceous structure,"Having a sessile lamina (blade) that uninterruptedly encircles the bearing axis, which thus passes through it at some point within the margin.  See also amplexicaulous, connate-perfoliate.",architecture,
1859,perforate,architecture,foliaceous structure,Having portions of the laminar (blade) area naturally devoid of any tissue.,architecture,
1860,pergamentaceous,texture,,"Very thin, pliable, and fairly tough; like parchment.  See also chartaceous (papery, papyraceous), membranaceous (membranous).",texture,
1861,perianth,structure,,"Collectively, all the sterile, primary, lateral organs (tepals, or sepals and/or petals) of a flower; inserted upon the floral axis immediately beneath (proximal to) the reproductive organs (androecium and/or gynoecium) and surrounding them, often protect",STRUCTURE,
1862,perianth_tube,structure,,"A relatively narrow, fully connate portion of a syntepalous (gamotepalous) perianth proximal to a broader portion (limb) that comprises the distinct or connate distal portions of the tepals.",STRUCTURE,
1863,pericarp,structure,,"The portion of a fruit wall that is derived from the ovary wall; consisting of three more or less distinct tissue layers (exocarp or epicarp, mesocarp, and endocarp) that may or may not differ greatly in structure and/or function; the wall of a fruit, exc",STRUCTURE,
1864,periclinal,orientation,,Parallel to some given plane of reference; applied especially to the plane of cell division when it is oriented parallel to the generalized plane of the structural surface.,orientation,
1865,pericolpate,architecture,pollen grain,Having more than three surficial grooves (colpi) oriented such that some or all of them cross meridians.,architecture,
1866,pericolporate,architecture,pollen grain,"Pericolpate, each groove containing a pore.",architecture,
1867,perigynium,structure,,"Two whorls of bracts, scales or setae immediately subtending the ovary, sometimes cupulate (cup-shaped) or ampulliform (flask-shaped, lageniform) and investing the fruit (achene); in Cyperaceae.",STRUCTURE,
1868,perigynia,structure,,"Two whorls of bracts, scales or setae immediately subtending the ovary, sometimes cupulate (cup-shaped) or ampulliform (flask-shaped, lageniform) and investing the fruit (achene); in Cyperaceae.",STRUCTURE,
1869,perigynium,structure,,"A phyllary (involucral bract) or palea (pale, palet) that fully encloses a cypsela; in Asteraceae (Compositae).",STRUCTURE,
1870,perigynia,structure,,"A phyllary (involucral bract) or palea (pale, palet) that fully encloses a cypsela; in Asteraceae (Compositae).",STRUCTURE,
1871,perigynous,insertion,"perianth, calyx, corolla, androecium","Having its proximal portion adnate to part of the length of the gynoecium, or fused in a separate floral cup that extends part of the length of the gynoecium, the free distal portion thus arising at a level between the base and apex of the gynoecium.  See",insertion,
1872,rooted,architecture,plant,Having one or more roots.,architecture,
1873,rooting,architecture,structure,Developing adventitious roots; esp. stems or leaves.,architecture,
1874,rootless,architecture,plant,Lacking a root.,architecture,
1875,rootstock,structure,,"An underground, usually horizontal stem, often superficially resembling a root but easily distinguished by the presence of nodes, from which it branches exogenously to produce the aboveground portion(s) of the shoot.",STRUCTURE,
1876,rosette,structure,,"A set of leaves that are strongly congested and disposed in radial symmetry about the main stem at or very near its base, seeming to arise at the same level and often overlapping laterally; esp. the overwintering leaves of perennial herbs.",STRUCTURE,
1877,rosetted,arrangement,leaves,"Forming a rosette; strongly congested and disposed in radial symmetry about the main stem at or very near its base, seeming to arise at the same level and often overlapping laterally; esp. in perennial herbs.",arrangement,
1878,rostellate,shape,,Diminutively rostrate (beaked).,shape,
1879,rostellum,structure,,A small rostrum (beak).,STRUCTURE,
1880,rostella,structure,,A small rostrum (beak).,STRUCTURE,
1881,rostellum,structure,,A sterile excrescent stigma lobe protruding between the anther and the functional stigma lobes of a column; sometimes forming one or more viscidia at pollinium maturity; esp. in Orchidaceae.,STRUCTURE,
1882,rostella,structure,,A sterile excrescent stigma lobe protruding between the anther and the functional stigma lobes of a column; sometimes forming one or more viscidia at pollinium maturity; esp. in Orchidaceae.,STRUCTURE,
1883,rostrate,shape,,"Terminating in a relatively long, tapering, more or less rigid point.  See also rostellate (small-beaked).",shape,
1884,rostrum,structure,,"A relatively long, tapering, more or less rigid and pointed enation or termination.",STRUCTURE,
1885,rostra,structure,,"A relatively long, tapering, more or less rigid and pointed enation or termination.",STRUCTURE,
1886,rostrum,structure,,"The inner, horn-like segment of a coronal lobe; esp. in Asclepiadaceae.",STRUCTURE,
1887,rostra,structure,,"The inner, horn-like segment of a coronal lobe; esp. in Asclepiadaceae.",STRUCTURE,
1888,rosulate,arrangement,leaves,"Forming a rosette; strongly congested and disposed radially about the main stem at or very near its base, seeming to arise at the same level and often overlapping laterally; esp. in perennial herbs.",arrangement,
